train/approx_kl,train/learning_rate,time/time_elapsed,train/loss,train/clip_fraction,train/value_loss,time/total_timesteps,train/explained_variance,time/fps,time/iterations,train/policy_gradient_loss,train/clip_range,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
0.063795775,0.0004368,17766,89.3346405,0.14140625,182.0852978,565248,-1.179290533,31,276,0.011577998,0.2,2750,-0.433075158,1096.3,3455.52
0.007885089,0.000428608,18021,10.21529007,0.074853516,30.38377172,573440,0.332164168,31,280,-0.002427015,0.2,2790,-0.403264944,1052.3,3245.89
0.006589295,0.000420416,18288,6.414629936,0.050048828,154.8131105,581632,0.020125568,31,284,0.001023377,0.2,2830,-0.433221952,778.2,3023.57
0.34353107,0.000412224,18553,15.40527821,0.281445313,69.62579241,589824,0.066519916,31,288,0.00486208,0.2,2870,-0.675380725,778.2,3051.87
0.027335329,0.000404032,18832,0.048463233,0.205566406,40.0221399,598016,0.1198318,31,292,0.003804339,0.2,2910,-1.125490602,780.2,3112.73
0.03781625,0.00039584,19096,0.24890551,0.153613281,1.774891458,606208,0.572800159,31,296,-0.012400076,0.2,2950,-0.574800225,784.2,3202.97
0.10183023,0.000387648,19364,27.9243412,0.423095703,84.39653686,614400,0.794122353,31,300,0.022002851,0.2,2990,-0.878371797,790.2,3293.42
0.01826986,0.000379456,19628,2.978831768,0.099365234,23.3510593,622592,0.810111776,31,304,0.000315429,0.2,3030,-0.43955539,798.2,3378.42
0.14787832,0.000371264,19901,97.07911682,0.45234375,359.008267,630784,-0.156370878,31,308,0.032996577,0.2,3070,-0.925013848,796.2,3425.07
0.059239052,0.000363072,20163,0.112203218,0.1,0.520636379,638976,0.382931828,31,312,-0.004642816,0.2,3110,-0.365682926,778.2,3363.92
0.044494126,0.00035488,20421,0.142428666,0.279394531,1.16395055,647168,-1.378349066,31,316,-0.01400952,0.2,3150,-0.912354245,780.2,3340.48
0.013928921,0.000346688,20692,0.015690889,0.132324219,0.107168443,655360,0.726065636,31,320,-0.009217065,0.2,3190,-0.645581586,780.2,3340.48
0.013712375,0.000338496,20964,-0.029068926,0.086035156,0.029544438,663552,-0.145501494,31,324,-0.015861353,0.2,3230,-0.501653776,780.2,3340.48
0.021273328,0.000330304,21238,-0.030543467,0.223681641,0.009423199,671744,-0.553094029,31,328,-0.025932884,0.2,3270,-0.461167135,780.2,3340.48
0.030163951,0.000322112,21513,-0.043223973,0.349707031,0.004540511,679936,-12.01339626,31,332,-0.039905289,0.2,3310,-0.763555161,780.2,3340.48
0.04372322,0.00031392,21785,-0.063635416,0.274951172,0.002978907,688128,-7.696624756,31,336,-0.030114718,0.2,3350,-0.914070499,780.2,3340.48
0.025329351,0.000305728,22058,-0.026604526,0.164746094,0.003142156,696320,-12.44479179,31,340,-0.031861017,0.2,3390,-0.651921083,780.2,3340.48
0.028423753,0.000297536,22330,-0.044427879,0.150097656,0.00317539,704512,-4.561693668,31,344,-0.025007045,0.2,3430,-0.896568798,780.2,3340.48
0.046073608,0.000289344,22604,-0.071385697,0.304541016,0.003334166,712704,-2.874536753,31,348,-0.038789251,0.2,3470,-1.15471038,780.2,3340.48
0.039361797,0.000281152,22866,10.78316307,0.203369141,47.01891606,720896,0.763064936,31,352,-0.002392363,0.2,3510,-0.591583024,804.2,4003.88
0.01686743,0.00027296,23121,3.986061096,0.09453125,9.852181871,729088,0.888626158,31,356,-0.014707453,0.2,3550,-0.461489857,824.2,4031.55
0.018387288,0.000264768,23397,0.105885461,0.033007813,2.605291597,737280,0.960758362,31,360,-0.007913845,0.2,3590,-0.100848493,828.2,4078.15
0.003974122,0.000256576,23655,38.59589767,0.027685547,104.0927573,745472,0.838492811,31,364,0.00293386,0.2,3630,-0.109214467,832.2,4083.09
0.016679209,0.000248384,23916,44.45615387,0.061083984,39.38131149,753664,0.706231564,31,368,-0.011630081,0.2,3670,-0.182073107,834.2,4182.09
0.029547542,0.000240192,24181,100.8072433,0.175927734,171.2269895,761856,0.388185799,31,372,-0.015049127,0.2,3710,-0.701024099,818.2,4108.66
0.075280204,0.000232,24446,256.1407166,0.126171875,3594.754478,770048,0.239978492,31,376,0.017048058,0.2,3750,-0.44960652,802.2,3668.77
0.028916191,0.000223808,24715,5.63996315,0.094628906,93.54282835,778240,0.092328191,31,380,0.012278199,0.2,3790,-0.266243332,740.2,3698.25
0.09290542,0.000215616,24984,5.54984951,0.257568359,134.9012677,786432,0.225502729,31,384,0.048305505,0.2,3830,-0.534639795,712.2,3743
0.03142578,0.000207424,25244,0.603919268,0.205517578,8.672413999,794624,0.906986356,31,388,0.00875658,0.2,3870,-0.698348987,702.2,3795.19
0.02678283,0.000199232,25506,0.035164461,0.114355469,0.174610947,802816,0.792546004,31,392,-0.022255964,0.2,3910,-0.276879411,688.2,3875.53
0.028292563,0.00019104,25771,-0.021238033,0.157910156,0.127664344,811008,0.798843697,31,396,-0.020305821,0.2,3950,-0.621823054,670.2,3949.98
0.06221047,0.000182848,26032,9.04869175,0.353027344,81.26699093,819200,0.405244708,31,400,0.036845442,0.2,3990,-1.153367671,628.2,3825.65
0.039785627,0.000174656,26293,67.97480774,0.306884766,233.3423156,827392,0.267792404,31,404,0.035499857,0.2,4030,-1.061756972,604.2,3860.51
0.009776302,0.000166464,26555,10.24588585,0.093652344,45.16805545,835584,0.909669332,31,408,0.005432217,0.2,4070,-0.507346292,588.2,3891.9
0.04952543,0.000158272,26818,126.8571701,0.258349609,324.8172822,843776,0.254024148,31,412,0.025996505,0.2,4110,-0.903418392,546.2,3888.93
0.020299256,0.00015008,27085,45.93106461,0.119042969,222.3751593,851968,0.644724637,31,416,0.006340739,0.2,4150,-0.787530111,348,3020.47
0.05175823,0.000141888,27349,95.49118042,0.254931641,278.2266152,860160,0.417921364,31,420,0.01513894,0.2,4190,-0.895316291,344,2873.56
0.010959836,0.000133696,27611,1.964868069,0.119091797,8.626386847,868352,0.770917445,31,424,-0.003633472,0.2,4230,-0.721013319,346,2907.92
0.088938706,0.000125504,27876,273.0145569,0.250634766,442.7907506,876544,0.374735296,31,428,0.032624982,0.2,4270,-1.112015197,374,2976.22
0.13060617,0.000117312,28140,1163.898193,0.360302734,2657.869607,884736,0.475987315,31,432,0.021604872,0.2,4310,-0.945805959,412,2665.47
0.010764957,0.00010912,28420,102.4120636,0.10703125,236.4664853,892928,0.819028124,31,436,0.003863677,0.2,4350,-0.512502405,430,2589.81
0.03588848,0.000100928,28707,38.75080872,0.120605469,112.9286363,901120,0.818979964,31,440,-0.003902377,0.2,4390,-0.463515186,442,2604.66
0.033531208,9.27E-05,28982,73.79212952,0.182470703,219.6626906,909312,0.782157838,31,444,0.002899077,0.2,4430,-0.69762255,446,1926.05
0.030774143,8.45E-05,29255,86.62932587,0.144482422,307.5383754,917504,0.387292922,31,448,0.004775483,0.2,4470,-0.462525668,446,1960.79
0.007955103,7.64E-05,29521,45.93412018,0.0609375,167.7064488,925696,0.635272473,31,452,0.002767018,0.2,4510,-0.637746608,442,1872.01
0.02489958,6.82E-05,29794,479.3529053,0.170214844,640.1871904,933888,0.140837133,31,456,0.011068451,0.2,4550,-0.540718243,454,1691.94
0.018272752,6.00E-05,30059,1123.611694,0.056201172,6002.219685,942080,0.31818217,31,460,0.000273528,0.2,4590,-0.530561548,464,1587.84
0.056690317,5.18E-05,30324,66.61073303,0.188574219,144.8799052,950272,0.248629451,31,464,0.018444202,0.2,4630,-0.559701634,434,1339.56
0.05524592,4.36E-05,30613,194.3644257,0.075585938,424.4340742,958464,0.367750227,31,468,0.002559239,0.2,4670,-0.514265006,428,1309.38
0.004147195,3.54E-05,30906,20.89824486,0.04609375,75.89561778,966656,0.854549199,31,472,0.000755826,0.2,4710,-0.200972012,424,1326.28
0.036040723,2.72E-05,31190,3337.476807,0.134960938,2921.09541,974848,0.127838016,31,476,0.003261127,0.2,4750,-0.615537675,422,1324.2
0.06370906,1.90E-05,31460,275.1321716,0.165087891,3088.930331,983040,0.351435006,31,480,0.012090086,0.2,4790,-0.687197098,436,1319.62
0.008498516,1.08E-05,31732,527.6779175,0.084423828,413.793712,991232,0.219309688,31,484,0.004021659,0.2,4830,-0.733211943,430,1270.18
0.007175734,2.62E-06,32011,1444.736694,0.041113281,4229.304861,999424,0.119250119,31,488,0.000572596,0.2,4870,-0.676811839,420,1211.62
